mode_key,mode,algorithm_key,Methode,seed,NMI,ARI,ACC,BalancedACC,F1Macro,RareACC,UltraRareACC,n_eval,n_rare_cells,n_ultrarare_cells,min_class_support
inductive,Inductif,pca_kmeans,PCA+KMeans,0,0.5960171921340635,0.37071885667250104,0.50293542074364,0.5032215080887582,0.45061200209842855,0.5609756097560976,0.7272727272727273,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_kmeans,PCA+KMeans,1,0.5960171921340633,0.37071885667250104,0.50293542074364,0.5032215080887582,0.45061200209842855,0.5609756097560976,0.7272727272727273,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_kmeans,PCA+KMeans,2,0.5960171921340633,0.37071885667250104,0.50293542074364,0.5032215080887582,0.45061200209842855,0.5609756097560976,0.7272727272727273,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_kmeans,PCA+KMeans,3,0.5960171921340633,0.37071885667250104,0.50293542074364,0.4675072223744725,0.4506014762258337,0.5609756097560976,0.7272727272727273,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_kmeans,PCA+KMeans,4,0.5960171921340635,0.37071885667250104,0.50293542074364,0.5032215080887582,0.45061200209842855,0.5609756097560976,0.7272727272727273,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_leiden,PCA+Leiden,0,0.6289430866636114,0.356898462305575,0.4227005870841487,0.4149058017162936,0.4129679832628474,0.5772357723577236,0.2727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_leiden,PCA+Leiden,1,0.6289409474168306,0.35688763410401864,0.4217221135029354,0.4146677064781984,0.4127173660513105,0.5772357723577236,0.2727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_leiden,PCA+Leiden,2,0.6335170995712557,0.35926436555141533,0.42661448140900193,0.4165001356523997,0.41567138114609375,0.5772357723577236,0.2727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_leiden,PCA+Leiden,3,0.6415021002720068,0.40112047007924795,0.48532289628180036,0.45240062573285683,0.4244745026866214,0.5772357723577236,0.3181818181818182,1022.0,123.0,22.0,1.0
inductive,Inductif,pca_leiden,PCA+Leiden,4,0.6337307097242577,0.36068172975446683,0.436399217221135,0.41888108803335206,0.41875629703106115,0.5772357723577236,0.2727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,sc_mae,scMAE,0,0.671263291149066,0.43596591673893786,0.5362035225048923,0.4296548044916099,0.4430181830711457,0.4959349593495935,0.2727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,sc_mae,scMAE,1,0.6941352258752359,0.4814367542213418,0.5440313111545988,0.4245505365802698,0.43659264899053296,0.4959349593495935,0.22727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,sc_mae,scMAE,2,0.6826658295866289,0.41623796005150393,0.49412915851272016,0.47301406238184474,0.4978906241607547,0.5609756097560976,0.6363636363636364,1022.0,123.0,22.0,1.0
inductive,Inductif,sc_mae,scMAE,3,0.6737936874481435,0.4510617996810375,0.5616438356164384,0.434075827873838,0.4440444268881207,0.4959349593495935,0.22727272727272727,1022.0,123.0,22.0,1.0
inductive,Inductif,sc_mae,scMAE,4,0.6479623937330019,0.39164305802264593,0.4931506849315068,0.44633658882789906,0.4256193617669669,0.4959349593495935,0.2727272727272727,1022.0,123.0,22.0,1.0
